PQID,CMT,UNM,CAT,Year,Month,Day
69725,4,Patrik Nordwall,O,2012,5,27
69732,7,Jonas Bonér,O,2012,5,27
69669,28,Viktor Klang (√),O,2012,5,28
69711,2,Patrik Nordwall,O,2012,5,28
69712,1,Heiko Seeberger,O,2012,5,28
69714,5,Patrik Nordwall,O,2012,5,28
69719,7,Jonas Bonér,O,2012,5,28
69727,5,Patrik Nordwall,O,2012,5,28
92197,75,Viktor Klang (√),M,2012,5,28
69701,2,Patrik Nordwall,O,2012,5,29
69704,3,Björn Antonsson,O,2012,5,29
69706,2,Patrik Nordwall,O,2012,5,29
69740,4,Patrik Nordwall,O,2012,5,29
69698,1,Björn Antonsson,O,2012,5,30
69700,3,Patrik Nordwall,O,2012,5,30
92360,30,Patrik Nordwall,M,2012,5,30
69611,10,Philipp Haller,O,2012,5,31
69686,2,Björn Antonsson,O,2012,5,31
69696,4,Patrik Nordwall,O,2012,5,31
92379,4,Björn Antonsson,M,2012,5,31
69678,3,Viktor Klang (√),O,2012,6,1
69679,7,Jonas Bonér,O,2012,6,1
69683,1,Patrik Nordwall,O,2012,6,1
69720,6,Viktor Klang (√),O,2012,6,2
69667,8,Jonas Bonér,O,2012,6,3
69664,1,Viktor Klang (√),O,2012,6,4
69672,5,Patrik Nordwall,O,2012,6,4
69674,3,Roland Kuhn,O,2012,6,4
69676,2,Patrik Nordwall,O,2012,6,4
69681,2,Patrik Nordwall,O,2012,6,4
69661,4,Roland Kuhn,O,2012,6,5
69662,1,Viktor Klang (√),O,2012,6,5
69663,3,Patrik Nordwall,O,2012,6,5
